ID,Trials,Conditions,Vertical_GRF,Mtp_agl,Mtp_vel,Ankle_agl,Ankle_vel,Ankle_mom,Ankle_pow,Knee_agl,Knee_vel,Knee_mom,Knee_pow,Hip_agl,Hip_vel,Hip_mom,Hip_pow
18,4,single,1.184528855,13.43407365,484.1908428,33.72381921,-953.7557714,-0.092833376,0.689299008,-115.7522171,1051.755882,0.11918484,1.043772988,89.25847334,-684.5079839,-0.102647908,0.421568543
18,5,single,1.239794395,6.912010109,295.8850564,37.80243125,-1091.273215,-0.100401236,0.924175279,-105.7927075,1061.891994,0.121272764,0.885684083,88.35675168,-687.2270371,-0.119255609,0.530291966
18,6,single,1.185728301,9.776045775,387.3646948,34.47189406,-981.6512162,-0.09347773,0.758080506,-117.6957354,980.4540934,0.126315801,0.875318679,87.75257214,-615.7260243,-0.092357594,0.415657237
18,1,consecutive,1.208060158,5.758979082,280.9054462,34.01578894,-1023.316344,-0.091750865,0.821858608,-105.8868643,883.91665,0.121531272,0.755374762,88.46373626,-548.0524988,-0.130262477,0.318478426
18,2,consecutive,1.30965357,6.131044413,291.180019,36.30620786,-964.0231067,-0.1037567,0.750728231,-108.7206438,900.7596981,0.125851505,0.768260299,89.52645592,-572.4561331,-0.136162976,0.392676781
18,3,consecutive,1.305015945,4.24545361,242.7713594,34.68923306,-1048.552285,-0.095408283,0.827751792,-107.0948294,930.0978577,0.133171352,0.791777262,89.3451405,-583.4355036,-0.135699761,0.37245923
18,4,consecutive,1.296331786,5.029747356,276.5994989,36.33474168,-1008.388122,-0.095949218,0.801337371,-108.572468,914.6769942,0.133481292,0.765680801,89.30940029,-568.8705673,-0.134111371,0.379747278
18,5,consecutive,1.359515538,5.391275637,279.2047429,36.7713396,-1056.912753,-0.094775339,0.821442941,-105.7198966,949.0553528,0.139921463,0.853254675,84.76269945,-566.4235803,-0.128059977,0.331414802
18,6,consecutive,1.271608089,3.544427,218.871861,34.96263221,-1049.032908,-0.088168212,0.798029018,-108.1945057,881.417456,0.134179722,0.824975637,89.2997987,-544.3932997,-0.132251193,0.31477432
19,1,single,1.408654018,12.4295322,442.1786342,26.88034918,-894.0854983,-0.105043384,0.487054006,-88.99410015,986.6796493,0.132922594,1.051896557,109.3819107,-688.5901866,-0.148335977,0.484142567
19,2,single,1.294896224,7.914517146,386.7194219,28.80512242,-959.7646846,-0.094306849,0.580918751,-91.04433969,981.2691297,0.12106057,0.971985254,106.9623997,-670.0018384,-0.156253523,0.435214364
19,3,single,1.350223451,9.641962425,344.0155178,30.3465716,-890.1597224,-0.098445766,0.55274726,-93.24888144,912.2146597,0.120702389,0.971119004,107.1716296,-632.1633448,-0.167533938,0.462652041
19,4,single,1.423306333,11.30162727,417.3902985,28.90281379,-878.9741945,-0.104221399,0.432597533,-93.83616734,999.658543,0.132271907,1.140186411,107.917458,-705.5786,-0.159129086,0.371117072
19,5,single,1.436606074,7.373247078,351.3812336,29.03568415,-855.4573699,-0.105274406,0.506084459,-92.22303689,1003.516633,0.126276939,1.034401868,105.3341761,-717.4874379,-0.163314118,0.513058802
19,6,single,1.414042035,8.040285501,302.5341138,29.15782489,-866.9131557,-0.105237058,0.526130011,-97.7650742,965.6467393,0.125509941,0.996823911,100.584617,-678.660836,-0.170579795,0.38311836
19,1,consecutive,1.53864195,8.881345374,338.6909668,29.13033132,-941.0740973,-0.114862948,0.478371328,-93.33388449,806.1481464,0.148124336,0.920182991,94.69758387,-506.045334,-0.152536237,0.371570115
19,2,consecutive,1.625435243,11.84268522,424.7711484,28.34369753,-914.3156867,-0.128828807,0.505955231,-85.07849756,818.2426263,0.132476019,0.889497464,93.75123547,-531.3190928,-0.171258566,0.482625991
19,3,consecutive,1.682852573,9.741108252,368.6966177,28.63115509,-959.4411364,-0.129610922,0.538627767,-86.03525361,896.6551318,0.146005112,0.92242332,89.73123735,-575.2855152,-0.170551783,0.447095719
19,4,consecutive,1.620617021,9.775107729,381.1397571,29.15930271,-911.7917154,-0.126477328,0.524817764,-87.29543695,865.2003494,0.139439394,0.91127201,90.47346809,-517.397489,-0.158315482,0.412571733
19,5,consecutive,1.622046644,10.58920765,372.5875742,28.87226394,-879.5704254,-0.127036315,0.492365743,-89.68343251,848.078986,0.134460561,0.878875709,96.0641847,-515.1538704,-0.160499544,0.453566216
19,6,consecutive,1.404365655,7.217858103,308.923333,30.93485485,-1002.187476,-0.106338071,0.568591156,-96.04142125,874.8936872,0.128541923,0.879343829,103.5702711,-523.2086748,-0.158370351,0.430098479
20,1,single,1.229933621,9.181155225,353.6214908,30.25350162,-986.8556144,-0.092106424,0.648951441,-86.42469012,1004.067223,0.094680578,0.684092761,89.7124651,-694.5673886,-0.13607147,0.605191255
20,2,single,1.311570795,14.29659271,471.0226241,28.01822907,-915.5636073,-0.097848214,0.503899006,-84.28002815,1020.122441,0.106699277,0.784182881,88.5744464,-671.3755254,-0.123330854,0.448339998
20,3,single,1.288177395,12.02486024,435.1467207,29.88525011,-958.9934662,-0.092515968,0.518904879,-87.81358675,1037.402863,0.112304316,0.814420179,88.9211732,-664.3822058,-0.114815653,0.640832098
20,4,single,1.270598839,14.53584352,472.8705223,31.21339479,-934.5182278,-0.092151706,0.510729631,-89.23277904,1031.809098,0.108657818,0.809445048,89.66589254,-648.9198696,-0.124301228,0.486284142
20,5,single,1.235096981,14.59741628,494.0636489,32.57202146,-923.952483,-0.090595343,0.546601387,-90.3052223,1020.953833,0.102024955,0.749833932,92.57877477,-695.9376753,-0.127726161,0.574491175
20,6,single,1.286882976,15.19518326,519.1136257,32.13887924,-944.427574,-0.093667665,0.455472485,-91.50622992,1029.621876,0.113013349,0.864920662,91.82244076,-639.9754677,-0.118000247,0.563525526
20,1,consecutive,1.253678192,8.64162015,347.2922101,34.64442283,-976.2588584,-0.080251995,0.563328598,-102.4871081,979.7914377,0.116179613,0.671498763,92.78732748,-628.9847693,-0.143330448,0.390617072
20,2,consecutive,1.189248202,6.837041376,285.1855542,33.72125001,-992.052975,-0.076509741,0.616308878,-97.95253383,939.5193928,0.115641649,0.747935242,86.76460769,-535.2616447,-0.119292299,0.374864694
20,3,consecutive,1.188114911,6.951608551,235.2602553,32.17685193,-984.4017307,-0.078394289,0.591336308,-97.76238942,976.1918324,0.11275279,0.679168967,90.27291346,-609.6838434,-0.123238631,0.452242632
20,4,consecutive,1.184267727,7.045980707,250.79172,31.97731371,-870.5557059,-0.075546388,0.532501636,-96.88468231,870.3999979,0.110753467,0.637446654,90.64013899,-550.6279444,-0.123845543,0.301087379
20,5,consecutive,1.198957772,7.610282334,289.1191459,33.70277606,-963.733796,-0.080042198,0.56992137,-99.74377168,929.7923394,0.108948674,0.674330963,91.55044769,-580.4756632,-0.130775821,0.381135815
20,6,consecutive,1.274235739,8.435086703,306.2298787,32.87465122,-906.2118512,-0.082880488,0.522308993,-96.77433093,935.6895756,0.112330293,0.681782969,89.92803639,-590.9402127,-0.133990634,0.428285875
21,1,single,1.098374222,5.188836678,210.6655898,29.51812913,-921.7912728,-0.083498144,0.727490746,-95.11534301,827.6751767,0.096763808,0.56260284,102.9505263,-538.0465986,-0.134868256,0.521080552
21,2,single,1.105251176,6.496478577,250.9366048,31.503884,-946.0404949,-0.086464166,0.774763931,-97.27074245,877.0110483,0.088849783,0.593095011,104.934994,-591.5292949,-0.131147913,0.515511723
21,3,single,1.0375368,4.725182834,206.3298645,30.68457569,-928.9273087,-0.078348648,0.723712678,-101.6574082,919.3019889,0.099251557,0.574553574,105.9902711,-592.7124458,-0.127769911,0.506143375
21,4,single,1.073893567,5.798952741,251.5048427,30.68419592,-951.6379579,-0.081935938,0.718084794,-99.80289279,859.3383024,0.09153582,0.603008843,106.5602369,-537.480287,-0.136744933,0.471512408
21,5,single,1.0445378,5.859719969,243.8683202,32.03274169,-949.3060357,-0.079107813,0.714682513,-99.74900371,869.7819604,0.09662847,0.577420812,103.8447829,-592.5651944,-0.133921571,0.458233408
21,6,single,1.169595709,6.550611491,253.7230716,29.37985679,-891.7245289,-0.089208936,0.678959505,-92.23471716,893.5663974,0.103483048,0.618736725,100.926552,-576.277704,-0.134001541,0.457927777
21,1,consecutive,1.398376879,6.53460588,234.4950807,34.89567194,-923.877499,-0.108809729,0.67871277,-91.62289345,799.3325529,0.106887643,0.55672303,80.45675566,-463.0145871,-0.129874298,0.491329205
21,2,consecutive,1.397797918,5.566305615,202.9991027,36.02719055,-870.0530642,-0.104593362,0.581961575,-93.94249965,750.0869232,0.11123907,0.609446758,80.10747258,-451.5428109,-0.134110092,0.459435657
21,3,consecutive,1.409899326,4.829126778,175.2475829,35.67863224,-893.2596887,-0.092279521,0.581838908,-91.54020511,758.5393326,0.118311114,0.595446164,80.48876754,-470.5170552,-0.1451823,0.47912003
21,4,consecutive,1.4365492,5.814501119,213.487977,35.87586944,-897.43527,-0.099642572,0.617501761,-93.11426969,772.4214394,0.123144087,0.571579984,81.48303813,-457.2196749,-0.141712496,0.460397287
21,5,consecutive,1.411498213,6.55211732,261.5338682,34.97653059,-918.8895253,-0.098654158,0.621474673,-92.74516023,743.5211701,0.113682915,0.547355878,81.84417888,-446.4138869,-0.144678663,0.476127358
21,6,consecutive,1.348662862,5.946868312,206.4924024,36.98622828,-832.0831251,-0.093722906,0.567852562,-96.30506437,728.068569,0.11464514,0.580370193,84.25684056,-444.8467938,-0.136911817,0.437866083
22,1,single,1.455292851,7.337345653,296.927063,27.05283812,-1189.290252,-0.098477193,0.964866908,-82.0015234,1058.726788,0.137938285,1.131616787,97.07792982,-654.7668356,-0.151995413,0.506622005
22,2,single,1.59081374,5.146839899,192.11052,25.39144939,-1209.077117,-0.100352755,1.116162662,-73.36776593,977.4518928,0.148313849,1.048882099,86.87674643,-680.496998,-0.131928318,0.441112148
22,3,single,1.52715738,6.512474837,259.1608425,26.43543106,-1159.827055,-0.104652658,0.953134971,-80.30406814,1030.950833,0.143599447,1.010446533,91.90513562,-679.5301444,-0.154051314,0.53620925
22,4,single,1.559827204,5.105431527,222.579258,26.03812472,-1198.531466,-0.099750629,1.058141713,-78.1632101,1022.740245,0.157362679,1.090798327,90.52023334,-683.2026754,-0.145951963,0.47484216
22,5,single,1.521181028,5.695689568,223.6378037,24.21044456,-1187.093843,-0.100922751,1.017442209,-75.77579701,1012.635053,0.137548108,1.003501237,92.45838772,-704.8407491,-0.157345413,0.489781453
22,6,single,1.457151511,7.014667346,269.7004799,26.74824222,-1150.639892,-0.099192244,0.9362883,-82.89697167,1020.401157,0.135351641,1.07319993,96.21735678,-642.8526541,-0.154222068,0.457709138
22,1,consecutive,1.599911253,8.000587648,294.0490385,32.38665012,-1180.575881,-0.110312278,0.957211303,-86.87483774,1017.52397,0.137635941,0.980482275,87.66236865,-604.9347476,-0.18172756,0.53238161
22,2,consecutive,1.600657679,7.905749847,275.4139226,32.83028337,-1162.644761,-0.10362943,0.923876557,-87.80153278,945.0980706,0.147111733,0.9238318,86.61293448,-543.2509956,-0.170777433,0.4692634
22,3,consecutive,1.679901033,7.740804448,281.5781647,34.36240305,-1166.992191,-0.107926734,0.964282971,-89.12175502,981.3611136,0.157637667,0.981119016,85.6028535,-559.520326,-0.178559845,0.515424057
22,4,consecutive,1.585242164,7.062456885,250.3516225,32.12679837,-1163.438335,-0.104284048,0.936478646,-85.26444238,920.2430523,0.141877126,0.946079322,83.97061486,-513.009346,-0.165578411,0.506657229
22,5,consecutive,1.628761699,7.894272225,282.9302756,33.22931975,-1201.490345,-0.100387788,0.963468203,-88.41533178,983.7698308,0.152711005,0.965409249,87.28286617,-548.4959907,-0.178195223,0.523458609
22,6,consecutive,1.676747781,7.650116276,276.6828347,31.81800027,-1148.626936,-0.1110124,0.902654162,-85.53229843,978.7607969,0.141683535,0.964313769,85.38345934,-554.6362895,-0.181422797,0.591592316
23,1,single,1.118939207,7.295189352,306.0534431,32.69631463,-1018.037576,-0.07647351,0.655256584,-106.8033137,914.4333702,0.112508774,0.780060983,104.094929,-546.7669948,-0.128458844,0.301388137
23,2,single,1.113383286,10.97668934,439.8309375,32.29200601,-981.550732,-0.081887136,0.61081052,-102.2148206,880.5370363,0.108628202,0.789238373,102.1801853,-600.4084229,-0.117815707,0.309570774
23,3,single,1.144117298,5.343922741,235.8876053,32.27867869,-1019.950927,-0.071909736,0.689866018,-106.9284311,767.7181505,0.115988487,0.761009545,105.3311207,-457.5168477,-0.132113922,0.273851543
23,4,single,1.159677841,6.210507934,303.2950172,32.21304088,-1018.089363,-0.07554982,0.672631857,-107.0002821,902.379606,0.122440323,0.732233113,103.9154751,-550.3733221,-0.130805955,0.273925691
23,5,single,1.138117063,6.568116467,296.1731135,30.50614156,-1023.318134,-0.075735068,0.657976942,-104.2696708,824.9071796,0.113975487,0.741161643,105.6246897,-495.8228,-0.131380231,0.281351135
23,6,single,1.161251938,10.16644006,392.002413,31.91608272,-951.8772367,-0.074455164,0.572866974,-105.8990214,855.302881,0.1130202,0.744032853,106.5407492,-506.3340799,-0.133495548,0.307410028
23,1,consecutive,1.113144185,8.203904213,316.8565263,33.40914385,-1010.474947,-0.07680151,0.642612775,-108.3700553,758.2201172,0.123169553,0.748319721,96.454265,-477.192494,-0.113490297,0.261470196
23,2,consecutive,1.13443689,7.27066112,322.5167421,33.56113893,-1076.89693,-0.077756832,0.708476096,-112.6810971,826.2158767,0.12075307,0.754432566,102.0196588,-518.118283,-0.125341881,0.267938832
23,3,consecutive,1.142329567,9.522490623,386.1096049,33.736093,-1026.232475,-0.075140119,0.627742624,-113.2418818,865.3572876,0.121738576,0.758517133,104.4957012,-522.0721059,-0.12441418,0.270175211
23,4,consecutive,1.162401319,8.895212418,372.0169704,32.66426819,-938.5467098,-0.085414052,0.569874776,-109.5599628,772.1796792,0.118060266,0.731910613,98.13264021,-475.7548048,-0.111070413,0.300547964
23,5,consecutive,1.18403429,9.304176443,389.2950645,35.24200208,-1024.78385,-0.080586805,0.616935211,-116.7506899,813.6198246,0.131283742,0.767105311,103.3843079,-487.3732782,-0.129835829,0.248937321
23,6,consecutive,1.14974313,8.72643737,388.3189055,32.64742651,-1017.87758,-0.077716353,0.622856387,-113.7812234,851.8555122,0.11925041,0.697130316,105.3837969,-537.0744121,-0.126395316,0.296742341
