ID,Trials,Conditions,JumpHeight,TakeoffVel,pKAM
25,5,single,0.393262186,2.31177844,0.575773028
25,6,single,0.389162771,2.289195145,0.417726054
25,1,consecutive,0.347676556,2.228131118,0.243193378
25,2,consecutive,0.349825078,2.174767785,0.153468107
25,3,consecutive,0.355794687,2.166838709,0.155536824
25,4,consecutive,0.376126386,2.229291479,0.268043585
25,5,consecutive,0.345223373,2.227029523,0.143793141
25,6,consecutive,0.355501974,2.217750301,0.236828308
26,1,single,0.436905393,2.659602876,0.655738932
26,2,single,0.438669272,2.787961627,0.017472496
26,3,single,0.452018743,2.77469177,0.447668861
26,4,single,0.445780313,2.68004905,0.660786817
26,5,single,0.44676658,2.763571511,0.716628435
26,6,single,0.440644656,2.665567934,0.436408802
26,1,consecutive,0.413751008,2.681602079,0.695758762
26,2,consecutive,0.394041979,2.579052151,0.620104606
26,3,consecutive,0.410375612,2.717864239,0.704080406
26,4,consecutive,0.407141781,2.668032745,0.699218283
26,5,consecutive,0.404983849,2.707922714,0.581447948
26,6,consecutive,0.416719539,2.659912616,0.767186026
27,1,single,0.500303931,2.675080608,0.982978124
27,2,single,0.512335759,2.723569617,1.202791848
27,3,single,0.516726822,2.741315323,0.940004229
27,4,single,0.525800115,2.790313003,0.920809507
27,5,single,0.519867526,2.618802335,0.964498249
27,6,single,0.505105373,2.72909441,0.938850127
27,1,consecutive,0.372232823,2.590021158,0.521743586
27,2,consecutive,0.359061717,2.469143128,0.609190351
27,3,consecutive,0.445356951,2.812027929,0.51786322
27,4,consecutive,0.461794428,2.764487733,0.542137442
27,5,consecutive,0.428945986,2.570000054,0.90759673
27,6,consecutive,0.400079855,2.564525486,0.775373133
28,1,single,0.390698796,2.464384291,0.441075243
28,2,single,0.390972182,2.491653701,0.556316942
28,3,single,0.388869529,2.514207362,0.125270823
28,4,single,0.375147005,2.473244625,0.444693481
28,5,single,0.384547223,2.527794557,0.269312737
28,6,single,0.384234792,2.508805776,0.706109042
28,1,consecutive,0.332214936,2.221900542,0.395684344
28,2,consecutive,0.343558626,2.262757548,0.312439955
28,3,consecutive,0.357011291,2.230606588,0.319634431
28,4,consecutive,0.364292967,2.283589168,0.392424213
28,5,consecutive,0.364039902,2.30503316,0.366076794
28,6,consecutive,0.346186106,2.21182455,0.342695607
29,1,single,0.550629569,3.204492258,0.259482461
29,2,single,0.55376361,3.132053533,0.146493726
29,3,single,0.581983212,3.084703368,0.332418394
29,4,single,0.576625083,3.111375667,0.224977395
29,5,single,0.582113856,2.992986992,0.318672602
29,6,single,0.565290601,3.077011167,0.175644245
29,1,consecutive,0.498637751,3.12494816,0.230074496
29,2,consecutive,0.542494108,3.070868653,0.195979107
29,3,consecutive,0.522787657,3.250266135,0.108626097
29,4,consecutive,0.546209942,3.250993188,0.13580012
29,5,consecutive,0.508487599,3.159142827,0.165484808
29,6,consecutive,0.525472576,3.13718033,0.127136345
30,1,single,0.465281185,2.695410379,0.711624466
30,2,single,0.48897097,2.674308609,0.432583205
30,3,single,0.475938561,2.736254536,0.43992217
30,4,single,0.465786999,2.678945289,0.223501667
30,5,single,0.477744681,2.709700582,0.17433702
30,6,single,0.4720723,2.707427468,0.464283348
30,1,consecutive,0.414985633,2.533476772,0.332882496
30,2,consecutive,0.445010881,2.627056719,0.426459114
30,3,consecutive,0.429911219,2.619701719,0.343631369
30,4,consecutive,0.439118479,2.578330491,0.415895781
30,5,consecutive,0.440304367,2.698081352,0.355227052
30,6,consecutive,0.440347696,2.462951525,0.277097912
31,1,single,0.565238063,3.060006839,0.487156944
31,2,single,0.588792377,2.914235267,0.351734688
31,3,single,0.590586669,3.075800504,0.614565031
31,4,single,0.603880315,3.02047922,0.246850566
31,5,single,0.623845392,2.977353514,0.897801754
31,6,single,0.588863024,2.913244186,0.709784225
31,1,consecutive,0.508073523,2.965366204,0.418829912
31,2,consecutive,0.514540804,2.808195213,0.569810644
31,3,consecutive,0.513456389,2.834605686,0.323219894
31,4,consecutive,0.530971776,2.762788833,0.327301683
31,5,consecutive,0.512431008,2.882336378,0.353068485
31,6,consecutive,0.51937487,2.677586735,0.292962615
32,1,single,0.400956359,2.301450657,0.096520193
32,2,single,0.406574433,2.406033186,0.682932357
32,3,single,0.394452093,2.263278428,0.397919949
32,4,single,0.388698101,2.33864597,0.741732389
32,5,single,0.394159814,2.337713806,0.52443416
32,6,single,0.384242283,2.303688607,0.656139653
32,1,consecutive,0.392782884,2.35853159,0.299754001
32,2,consecutive,0.400431919,2.370129806,0.270677026
32,3,consecutive,0.376077792,2.380463656,0.38121399
32,4,consecutive,0.393879077,2.170789984,0.385196425
32,5,consecutive,0.394479858,2.273752681,0.386295261
32,6,consecutive,0.394777642,2.388254449,0.33580403
33,1,single,0.475900819,2.817114094,0.214804408
33,2,single,0.493292603,2.876112332,0.376371421
33,3,single,0.456778876,2.77011278,0.172480625
33,4,single,0.480095884,2.891323357,0.09442335
33,5,single,0.511211144,2.971837352,0.371709062
33,6,single,0.488032208,2.904947591,0.160735968
33,1,consecutive,0.398937445,2.74928884,0.225778146
33,2,consecutive,0.415195196,2.667136271,0.199628272
33,3,consecutive,0.419897222,2.695480179,0.211610584
33,4,consecutive,0.409609923,2.489548617,0.315247103
33,5,consecutive,0.406577717,2.5968791,0.189818558
33,6,consecutive,0.415519727,2.597819726,0.161412178
34,1,single,0.422204752,2.570159561,0.372015113
34,2,single,0.455767767,2.723676277,0.64696131
34,3,single,0.451339268,2.68580364,0.195725744
34,4,single,0.445617251,2.765909236,0.33806109
34,5,single,0.440594024,2.643326186,0.322444897
34,6,single,0.423176722,2.602753025,0.214914653
34,1,consecutive,0.366340434,2.557836134,0.271608051
34,2,consecutive,0.419338318,2.741598552,0.287667962
34,3,consecutive,0.429528425,2.641289821,0.131645261
34,4,consecutive,0.3889491,2.559647498,0.287016058
34,5,consecutive,0.417062974,2.469223611,0.250554563
34,6,consecutive,0.407691133,2.592176393,0.238384886
35,1,single,0.435503568,2.551274543,0.393946909
35,2,single,0.427449374,2.467083691,0.031110148
35,3,single,0.422595841,2.446472565,0.092017043
35,4,single,0.409582882,2.392762579,0.121712883
35,5,single,0.41449366,2.563001553,0.264421769
35,6,single,0.410102837,2.55409409,0.269753425
35,1,consecutive,0.407820612,2.649097066,0.153073782
35,2,consecutive,0.406729179,2.637874376,0.14128709
35,3,consecutive,0.415176866,2.522387147,0.135111392
35,4,consecutive,0.417071002,2.534908063,0.08531462
35,5,consecutive,0.41117821,2.587229459,0.240339751
35,6,consecutive,0.410905794,2.488624901,0.14210639
36,1,single,0.524843175,3.082095016,-0.008313443
36,2,single,0.512776338,3.095439926,0.232964455
36,3,single,0.524574103,3.083072019,0.264115937
36,4,single,0.531934407,3.078482206,0.005544457
36,5,single,0.520190166,3.112680117,0.151509781
36,6,single,0.527823185,3.022811115,0.292929927
36,1,consecutive,0.469780309,2.986996485,0.172464061
36,2,consecutive,0.481022013,2.985224805,0.302700625
36,3,consecutive,0.473467627,2.994379437,0.139917737
36,4,consecutive,0.479585021,3.026547282,0.217552915
36,5,consecutive,0.478980634,2.982289169,0.256495986
36,6,consecutive,0.478982307,3.003299533,0.306853858
37,1,single,0.505929834,3.054035563,0.206707254
37,2,single,0.516934958,3.065941325,0.241740493
37,3,single,0.52302006,3.048254993,0.113118362
37,4,single,0.542911432,3.110834069,0.392476778
37,5,single,0.552927444,3.240869675,0.210494819
37,6,single,0.576632258,3.152478259,0.621739432
37,1,consecutive,0.475655944,3.006732811,0.22809633
37,2,consecutive,0.471566812,3.020041395,0.311335765
37,3,consecutive,0.497236446,2.84097459,0.272606961
37,4,consecutive,0.491573294,2.995879122,0.175814723
37,5,consecutive,0.496886753,2.951462782,0.201640446
37,6,consecutive,0.518025568,2.842375709,0.289860267
38,1,single,0.410750989,2.336772257,0.774913908
38,2,single,0.410875779,2.154364363,0.675480371
38,3,single,0.421936518,2.371637738,0.339858014
38,4,single,0.380601761,2.319714327,0.040364736
38,5,single,0.373007546,2.078098455,0.880401969
38,6,single,0.384888823,2.314186497,0.568723812
38,1,consecutive,0.342580396,2.19856888,0.471514335
38,2,consecutive,0.367590002,2.276681545,0.508948161
38,3,consecutive,0.354345006,2.194994539,0.584111033
38,4,consecutive,0.370162159,2.239789457,0.447081474
38,5,consecutive,0.331720232,2.109750903,0.469693786
38,6,consecutive,0.355122232,2.122951373,0.813069111
39,1,single,0.546619346,2.800676149,0.516503398
39,2,single,0.540113013,2.761482554,0.570648268
39,3,single,0.513452053,2.65839699,0.448941754
39,4,single,0.521739575,2.68074473,0.360279108
39,5,single,0.53364109,2.665963201,0.542359387
39,6,single,0.536319062,2.818693954,0.240181714
39,1,consecutive,0.429105657,2.373550261,0.376443462
39,2,consecutive,0.42006999,2.45587107,0.445062631
39,3,consecutive,0.436293738,2.52181517,0.453406548
39,4,consecutive,0.454633103,2.512538875,0.422087863
39,5,consecutive,0.468556297,2.393744806,0.458436685
39,6,consecutive,0.43199088,2.541618629,0.444625005
40,1,single,0.468218257,2.694958258,1.045058053
40,2,single,0.482539322,2.920886137,1.121274057
40,3,single,0.440223395,2.740835828,1.047455288
40,4,single,0.458602388,2.706385056,0.881766673
40,5,single,0.435150018,2.658965057,0.426839278
40,6,single,0.430698889,2.62854551,0.807926456
40,1,consecutive,0.365100003,2.33339528,0.329769921
40,2,consecutive,0.381941378,2.418344967,0.344744335
40,3,consecutive,0.381003588,2.235027828,0.428614271
40,4,consecutive,0.360016058,2.287303097,0.318759839
40,5,consecutive,0.368997801,2.375389354,0.299894537
40,6,consecutive,0.362545841,2.502729578,0.358894229
