ID,Conditions,Landing_GRF,trials
15,CMJ,3.096162597,3
15,CMJ,2.520195748,4
15,CMJ,2.437277493,5
15,CMJ,2.483940457,6
15,SCMJ,1.172369252,1
15,SCMJ,1.776321149,2
15,SCMJ,1.840550965,3
15,SCMJ,1.515871146,4
15,SCMJ,1.627820228,5
15,SCMJ,1.997129212,6
16,CMJ,2.103792036,1
16,CMJ,1.032589165,2
16,CMJ,1.59474614,3
16,CMJ,2.015426402,4
16,CMJ,1.519559621,5
16,CMJ,1.364764593,6
16,SCMJ,1.525682424,1
16,SCMJ,1.80778675,2
16,SCMJ,1.540665051,3
16,SCMJ,1.381242633,4
16,SCMJ,1.470965143,5
16,SCMJ,1.311317747,6
17,CMJ,2.152207867,1
17,CMJ,1.415703463,2
17,CMJ,2.538129702,3
17,CMJ,2.387052769,4
17,CMJ,2.902561993,5
17,CMJ,2.93833985,6
17,SCMJ,2.140056448,1
17,SCMJ,1.776324523,2
17,SCMJ,2.000662116,3
17,SCMJ,1.888465764,4
17,SCMJ,1.919655903,5
17,SCMJ,1.821350327,6
18,CMJ,2.089084492,1
18,CMJ,2.293072155,2
18,CMJ,1.902165726,3
18,CMJ,3.358802601,4
18,CMJ,3.310848214,5
18,CMJ,3.060659447,6
18,SCMJ,1.958903715,1
18,SCMJ,1.913704491,2
18,SCMJ,1.89724636,3
18,SCMJ,1.953712279,4
18,SCMJ,2.158753929,5
18,SCMJ,1.564827393,6
19,CMJ,2.175945498,1
19,CMJ,2.11236088,2
19,CMJ,3.08786149,3
19,CMJ,1.399723089,4
19,CMJ,1.870068253,5
19,CMJ,1.898606019,6
19,SCMJ,1.683235245,1
19,SCMJ,1.917972572,2
19,SCMJ,2.082217956,3
19,SCMJ,1.917846931,4
19,SCMJ,1.838310622,5
19,SCMJ,1.050414224,6
20,CMJ,1.045174222,1
20,CMJ,1.389769526,2
20,CMJ,1.775329739,3
20,CMJ,1.244137827,4
20,CMJ,1.394089654,5
20,CMJ,1.625537653,6
20,SCMJ,1.408538194,1
20,SCMJ,1.631439918,2
20,SCMJ,1.492578192,3
20,SCMJ,1.497667228,4
20,SCMJ,1.282307738,5
20,SCMJ,1.412730215,6
21,CMJ,1.331850513,1
21,CMJ,2.235994913,2
21,CMJ,1.460409116,3
21,CMJ,2.001867965,4
21,CMJ,2.526800056,5
21,CMJ,2.179361824,6
21,SCMJ,2.509366141,1
21,SCMJ,2.000644934,2
21,SCMJ,1.878629766,3
21,SCMJ,2.173353287,4
21,SCMJ,1.939856775,5
21,SCMJ,2.014362144,6
22,CMJ,1.570793018,1
22,CMJ,2.008654982,2
22,CMJ,1.967817011,3
22,CMJ,1.875800631,4
22,CMJ,2.0118603,5
22,CMJ,2.498114649,6
22,SCMJ,2.341564245,1
22,SCMJ,1.845473198,2
22,SCMJ,2.430941521,3
22,SCMJ,2.195300941,4
22,SCMJ,2.174877154,5
22,SCMJ,2.276878389,6
23,CMJ,1.666884344,1
23,CMJ,1.799154807,2
23,CMJ,0.998864493,3
23,CMJ,1.194251986,4
23,CMJ,0.998727947,5
23,CMJ,1.674448473,6
23,SCMJ,1.423316699,1
23,SCMJ,1.424400856,2
23,SCMJ,1.477452124,3
23,SCMJ,1.618593445,4
23,SCMJ,1.468395527,5
23,SCMJ,1.306900942,6
24,CMJ,1.43549979,1
24,CMJ,2.136798863,2
24,CMJ,2.991149596,3
24,CMJ,1.676735655,4
24,CMJ,2.902854544,5
24,CMJ,2.390437993,6
24,SCMJ,2.494121418,1
24,SCMJ,1.567500625,2
24,SCMJ,2.136159992,3
24,SCMJ,1.62259993,4
24,SCMJ,2.303985289,5
24,SCMJ,1.818703305,6
25,CMJ,1.542935381,1
25,CMJ,2.028178149,2
25,CMJ,1.432038241,3
25,CMJ,1.748177233,4
25,CMJ,2.089269914,5
25,CMJ,1.624211309,6
25,SCMJ,1.742064122,1
25,SCMJ,1.779174279,2
25,SCMJ,1.995386573,3
25,SCMJ,1.947204193,4
25,SCMJ,1.543709044,5
25,SCMJ,1.962190409,6
26,CMJ,2.832826209,1
26,CMJ,2.023071982,2
26,CMJ,1.765085523,3
26,CMJ,2.438344982,4
26,CMJ,2.133996157,5
26,CMJ,1.884650256,6
26,SCMJ,2.092100282,1
26,SCMJ,2.123233234,2
26,SCMJ,2.234067771,3
26,SCMJ,2.148871866,4
26,SCMJ,2.100339317,5
26,SCMJ,2.052701675,6
27,CMJ,3.186044184,1
27,CMJ,3.375259146,2
27,CMJ,2.696921415,3
27,CMJ,2.901489651,4
27,CMJ,2.944909508,5
27,CMJ,3.039481244,6
27,SCMJ,2.074421836,1
27,SCMJ,1.889833918,2
27,SCMJ,1.709551559,3
27,SCMJ,1.916899809,4
27,SCMJ,2.386424439,5
27,SCMJ,1.951478316,6
28,CMJ,1.672426434,1
28,CMJ,1.677000948,2
28,CMJ,2.015111005,3
28,CMJ,2.294258536,4
28,CMJ,1.477813387,5
28,CMJ,2.284241272,6
28,SCMJ,1.599492737,1
28,SCMJ,1.998251922,2
28,SCMJ,1.578409778,3
28,SCMJ,1.761134482,4
28,SCMJ,1.576184013,5
28,SCMJ,1.590626166,6
29,CMJ,1.863903015,1
29,CMJ,1.315703222,2
29,CMJ,2.368727466,3
29,CMJ,2.204322264,4
29,CMJ,1.770452354,5
29,CMJ,1.948908167,6
29,SCMJ,1.344607461,1
29,SCMJ,1.48080387,2
29,SCMJ,1.320934177,3
29,SCMJ,1.49862826,4
29,SCMJ,1.674590098,5
29,SCMJ,1.519440692,6
30,CMJ,1.797909407,1
30,CMJ,1.947780535,2
30,CMJ,2.476100919,3
30,CMJ,2.157640859,4
30,CMJ,2.275256413,5
30,CMJ,1.895463087,6
30,SCMJ,1.535870802,1
30,SCMJ,1.744786845,2
30,SCMJ,1.994214073,3
30,SCMJ,1.733996501,4
30,SCMJ,1.897211971,5
30,SCMJ,1.874987957,6
31,CMJ,3.283273198,1
31,CMJ,1.504224316,2
31,CMJ,2.283848461,3
31,CMJ,2.857396065,4
31,CMJ,2.517052008,5
31,CMJ,1.350240684,6
31,SCMJ,1.683953685,1
31,SCMJ,1.816539643,2
31,SCMJ,1.246910105,3
31,SCMJ,1.521778584,4
31,SCMJ,1.607477033,5
31,SCMJ,1.518725812,6
32,CMJ,1.751198608,1
32,CMJ,2.508752378,2
32,CMJ,1.951680781,3
32,CMJ,2.889502717,4
32,CMJ,1.918026674,5
32,CMJ,2.411375717,6
32,SCMJ,1.671454593,1
32,SCMJ,1.819361994,2
32,SCMJ,1.937273373,3
32,SCMJ,1.619629855,4
32,SCMJ,1.384632182,5
32,SCMJ,1.620524083,6
33,CMJ,1.429849033,1
33,CMJ,1.292966514,2
33,CMJ,1.495713893,3
33,CMJ,1.300609993,4
33,CMJ,1.992466545,5
33,CMJ,1.356653854,6
33,SCMJ,1.222652297,1
33,SCMJ,1.353630375,2
33,SCMJ,1.301188074,3
33,SCMJ,1.174572573,4
33,SCMJ,1.207098905,5
33,SCMJ,1.258789911,6
34,CMJ,3.065988861,1
34,CMJ,2.316455099,2
34,CMJ,1.971136904,3
34,CMJ,2.35638082,4
34,CMJ,2.999103858,5
34,CMJ,2.084088296,6
34,SCMJ,1.637625682,1
34,SCMJ,2.051300987,2
34,SCMJ,1.66207592,3
34,SCMJ,1.726621486,4
34,SCMJ,2.14931403,5
34,SCMJ,2.111938352,6
35,CMJ,2.887443418,1
35,CMJ,1.68687817,2
35,CMJ,1.559366673,3
35,CMJ,1.914800607,4
35,CMJ,1.927401627,5
35,CMJ,2.188102554,6
35,SCMJ,1.767783587,1
35,SCMJ,1.759280545,2
35,SCMJ,1.6375597,3
35,SCMJ,1.815651223,4
35,SCMJ,2.15177267,5
35,SCMJ,1.994073508,6
36,CMJ,1.978646048,1
36,CMJ,2.320255789,2
36,CMJ,1.532661362,3
36,CMJ,2.048458278,4
36,CMJ,1.903576312,5
36,CMJ,2.601153228,6
36,SCMJ,1.971698403,1
36,SCMJ,1.951703986,2
36,SCMJ,1.798807806,3
36,SCMJ,1.739160723,4
36,SCMJ,1.796934656,5
36,SCMJ,1.970748263,6
37,CMJ,1.999877858,1
37,CMJ,3.634318385,2
37,CMJ,2.679513684,3
37,CMJ,2.416698974,4
37,CMJ,2.551693589,5
37,CMJ,2.4010896,6
37,SCMJ,2.25180047,1
37,SCMJ,2.235584044,2
37,SCMJ,2.332814916,3
37,SCMJ,1.919856098,4
37,SCMJ,2.267809656,5
37,SCMJ,2.513737426,6
38,CMJ,1.221177654,1
38,CMJ,2.616912402,2
38,CMJ,1.852253025,3
38,CMJ,1.648661292,4
38,CMJ,1.48540859,5
38,CMJ,2.828373153,6
38,SCMJ,1.481651243,1
38,SCMJ,2.250839845,2
38,SCMJ,1.374495741,3
38,SCMJ,2.01951703,4
38,SCMJ,1.95952223,5
38,SCMJ,1.667752421,6
39,CMJ,1.59224801,1
39,CMJ,1.855338983,2
39,CMJ,1.919402639,3
39,CMJ,1.466512803,4
39,CMJ,2.060789641,5
39,CMJ,1.460858289,6
39,SCMJ,1.596671103,1
39,SCMJ,1.330179733,2
39,SCMJ,1.646545812,3
39,SCMJ,1.709750536,4
39,SCMJ,1.515335595,5
39,SCMJ,1.488706523,6
40,CMJ,4.949851813,1
40,CMJ,4.628694988,2
40,CMJ,2.948523374,3
40,CMJ,3.273728471,4
40,CMJ,3.174693888,5
40,CMJ,3.918821159,6
40,SCMJ,1.940704199,1
40,SCMJ,1.271023868,2
40,SCMJ,1.701647575,3
40,SCMJ,1.613847611,4
40,SCMJ,1.692029819,5
40,SCMJ,1.851942664,6
