ID,Conditions,Landing_GRF,trials
1,CMJ,1.185573874,1
1,CMJ,2.376118908,2
1,CMJ,1.187936392,3
1,CMJ,1.715526705,4
1,CMJ,1.316433659,5
1,CMJ,2.168010326,6
1,SCMJ,1.447968821,1
1,SCMJ,1.387858827,2
1,SCMJ,1.441056161,3
1,SCMJ,1.540714778,4
1,SCMJ,1.351352446,5
1,SCMJ,1.424915533,6
2,CMJ,1.381123638,1
2,CMJ,1.756561755,2
2,CMJ,1.543432713,3
2,CMJ,2.181082909,4
2,CMJ,1.845864001,5
2,CMJ,1.51262538,6
2,SCMJ,1.469865551,1
2,SCMJ,1.700483672,2
2,SCMJ,1.584023314,3
2,SCMJ,1.663150879,4
2,SCMJ,1.483659057,5
2,SCMJ,1.516289334,6
3,CMJ,2.92422523,1
3,CMJ,3.833797258,2
3,CMJ,3.728581098,3
3,CMJ,3.660461943,4
3,CMJ,2.362204055,5
3,CMJ,2.307381243,6
3,SCMJ,2.535640447,1
3,SCMJ,2.346134452,2
3,SCMJ,2.350244618,3
3,SCMJ,2.166751336,4
3,SCMJ,1.682326283,5
3,SCMJ,2.080126644,6
4,CMJ,2.90305219,1
4,CMJ,2.179645149,2
4,CMJ,2.042254957,3
4,CMJ,1.989901727,4
4,CMJ,2.195120121,5
4,CMJ,2.332545118,6
4,SCMJ,1.31832644,1
4,SCMJ,1.720186507,2
4,SCMJ,1.636723868,3
4,SCMJ,1.787352681,4
4,SCMJ,1.872280018,5
4,SCMJ,1.968200271,6
5,CMJ,1.535693519,1
5,CMJ,1.8862871,2
5,CMJ,2.021914722,3
5,CMJ,2.527887293,4
5,CMJ,1.632197767,5
5,CMJ,1.698656961,6
5,SCMJ,1.677617531,1
5,SCMJ,1.917180478,2
5,SCMJ,1.447417671,3
5,SCMJ,1.633117273,4
5,SCMJ,1.660698154,5
5,SCMJ,1.453664348,6
6,CMJ,1.222217079,1
6,CMJ,1.789448008,2
6,CMJ,1.356060837,3
6,CMJ,1.335388108,4
6,CMJ,1.175250956,5
6,CMJ,1.440238519,6
6,SCMJ,1.341628824,1
6,SCMJ,1.46455649,2
6,SCMJ,1.48196491,3
6,SCMJ,1.619664619,4
6,SCMJ,1.726724965,5
6,SCMJ,1.521233649,6
7,CMJ,2.257849098,1
7,CMJ,1.940212267,2
7,CMJ,1.998406311,3
7,CMJ,1.822467701,4
7,CMJ,1.661952685,5
7,CMJ,1.759540281,6
7,SCMJ,1.511121538,1
7,SCMJ,1.439589897,2
7,SCMJ,1.586946709,3
7,SCMJ,1.461326614,4
7,SCMJ,1.38655499,5
7,SCMJ,1.601334205,6
8,CMJ,1.232823773,1
8,CMJ,1.686100136,2
8,CMJ,1.417542654,3
8,CMJ,1.225742455,4
